,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
0,FDA15,9.3,Low Fat,0.015919904174950657,Dairy,249.8092,OUT049,1999,Medium,Tier 1,Supermarket Type1,15.515611049489053
1,DRC01,5.92,Regular,0.019094745434374644,Soft Drinks,48.2692,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.625576342711593
2,FDN15,17.5,Low Fat,0.016621174779953313,Meat,141.618,OUT049,1999,Medium,Tier 1,Supermarket Type1,12.800240067112039
3,FDX07,19.2,Regular,0.0,Fruits and Vegetables,182.095,OUT010,1998,Medium,Tier 3,Grocery Store,9.013888023198483
4,NCD19,8.93,Low Fat,0.0,Household,53.8614,OUT013,1987,High,Tier 3,Supermarket Type1,9.982319424816104
5,FDP36,10.395,Regular,0.0,Baking Goods,51.4008,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.225898683227074
6,FDO10,13.65,Regular,0.012660604246845704,Snack Foods,57.6588,OUT013,1987,High,Tier 3,Supermarket Type1,7.003758525782775
7,FDP10,19.0,Low Fat,0.11997605766925581,Snack Foods,107.7622,OUT027,1985,Medium,Tier 3,Supermarket Type3,15.904066046070863
8,FDH17,16.2,Regular,0.016549413880111906,Frozen Foods,96.9726,OUT045,2002,Medium,Tier 2,Supermarket Type1,10.249073404241823
9,FDU28,19.2,Regular,0.09025157935956865,Frozen Foods,187.8214,OUT017,2007,Medium,Tier 2,Supermarket Type1,16.763192991981064
10,FDY07,11.8,Low Fat,0.0,Fruits and Vegetables,45.5402,OUT049,1999,Medium,Tier 1,Supermarket Type1,11.487766701403263
11,FDA03,18.5,Regular,0.04446058887970794,Dairy,144.1102,OUT046,1997,Small,Tier 1,Supermarket Type1,12.980548820062495
12,FDX32,15.1,Regular,0.09532245245628829,Fruits and Vegetables,145.4786,OUT049,1999,Medium,Tier 1,Supermarket Type1,11.669853478632474
13,FDS46,17.6,Regular,0.04617467819460066,Snack Foods,119.6782,OUT046,1997,Small,Tier 1,Supermarket Type1,12.897031947408681
14,FDF32,16.35,Low Fat,0.06581049308815062,Fruits and Vegetables,196.4426,OUT013,1987,High,Tier 3,Supermarket Type1,12.551628598774213
15,FDP49,9.0,Regular,0.06680684747657258,Breakfast,56.3614,OUT046,1997,Small,Tier 1,Supermarket Type1,11.566269432809452
16,NCB42,11.8,Low Fat,0.008559315324645283,Health and Hygiene,115.3492,OUT018,2009,Medium,Tier 3,Supermarket Type2,11.749165596398964
17,FDP49,9.0,Regular,0.06690731582682657,Breakfast,54.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1,8.956157970925656
18,DRI11,8.26,Low Fat,0.033664616208690316,Hard Drinks,113.2834,OUT027,1985,Medium,Tier 3,Supermarket Type3,13.207074567045009
19,FDU02,13.35,Low Fat,0.09757318092103104,Dairy,230.5352,OUT035,2004,Small,Tier 2,Supermarket Type1,14.00751705156555
20,FDN22,18.85,Regular,0.1294395247149753,Snack Foods,250.8724,OUT013,1987,High,Tier 3,Supermarket Type1,15.570729136001486
21,FDW12,8.315,Regular,0.034787751118266916,Baking Goods,144.5444,OUT027,1985,Medium,Tier 3,Supermarket Type3,15.95828089766069
22,NCB30,14.6,Low Fat,0.025373487084180024,Household,196.5084,OUT035,2004,Small,Tier 2,Supermarket Type1,11.664962508454146
23,FDC37,15.5,Low Fat,0.05596152930377379,Baking Goods,107.6938,OUT019,1985,Small,Tier 1,Grocery Store,5.98503306656475
24,FDR28,13.85,Regular,0.02556684984579099,Frozen Foods,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,15.976560731393885
25,NCD06,13.0,Low Fat,0.09520754090076917,Household,45.906,OUT017,2007,Medium,Tier 2,Supermarket Type1,9.431297519479898
26,FDV10,7.645,Regular,0.06456361801014202,Snack Foods,42.3112,OUT035,2004,Small,Tier 2,Supermarket Type1,10.213029612972694
27,DRJ59,11.65,Low Fat,0.019171184841092558,Hard Drinks,39.1164,OUT013,1987,High,Tier 3,Supermarket Type1,6.760112505859556
28,FDE51,5.925,Regular,0.149683460071088,Dairy,45.5086,OUT010,1998,Medium,Tier 3,Grocery Store,5.629798637670907
29,FDC14,14.5,Regular,0.06973294516485708,Canned,43.6454,OUT019,1985,Small,Tier 1,Grocery Store,5.0111245637930075
30,FDV38,19.25,Low Fat,0.1573016112818406,Dairy,55.7956,OUT010,1998,Medium,Tier 3,Grocery Store,5.471330707956464
31,NCS17,18.6,Low Fat,0.07772868346038986,Health and Hygiene,96.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,13.99619692617933
32,FDP33,18.7,Low Fat,0.0,Snack Foods,256.6672,OUT018,2009,Medium,Tier 3,Supermarket Type2,14.530662659576524
33,FDO23,17.85,Low Fat,0.0,Breads,93.1436,OUT045,2002,Medium,Tier 2,Supermarket Type1,12.955474496994917
34,DRH01,17.5,Low Fat,0.09340293398494309,Soft Drinks,174.8738,OUT046,1997,Small,Tier 1,Supermarket Type1,12.775812068685052
35,NCX29,10.0,Low Fat,0.08552715165527887,Health and Hygiene,146.7102,OUT049,1999,Medium,Tier 1,Supermarket Type1,15.592667494195458
36,FDV20,20.2,Regular,0.05780824731909687,Fruits and Vegetables,128.0678,OUT027,1985,Medium,Tier 3,Supermarket Type3,14.09072306959672
37,DRZ11,8.85,Regular,0.10717038056382121,Soft Drinks,122.5388,OUT018,2009,Medium,Tier 3,Supermarket Type2,11.720155192919092
38,FDX10,6.385,Regular,0.11610291660202872,Snack Foods,36.9874,OUT027,1985,Medium,Tier 3,Supermarket Type3,7.2946442232218285
39,FDB34,15.25,Low Fat,0.026136402993953124,Snack Foods,87.6198,OUT027,1985,Medium,Tier 3,Supermarket Type3,12.967363895986374
40,FDU02,13.35,Low Fat,0.09759076275154552,Dairy,230.6352,OUT046,1997,Small,Tier 1,Supermarket Type1,15.089140328552975
41,FDK43,9.8,Low Fat,0.026465118821434035,Meat,126.002,OUT013,1987,High,Tier 3,Supermarket Type1,12.907697267090168
42,FDA46,13.6,Low Fat,0.11137888210414607,Snack Foods,192.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,13.62144971605785
43,FDC02,21.35,Low Fat,0.06681982105551165,Canned,259.9278,OUT018,2009,Medium,Tier 3,Supermarket Type2,18.916086823509012
44,FDL50,12.15,Regular,0.04140857476841836,Canned,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1,7.201708699398744
45,FDM39,6.42,Low Fat,0.08571788962876113,Dairy,178.1002,OUT010,1998,Medium,Tier 3,Grocery Store,7.101913125926837
46,NCP05,19.6,Low Fat,0.0,Health and Hygiene,153.3024,OUT045,2002,Medium,Tier 2,Supermarket Type1,13.442071676114969
47,FDV49,10.0,Low Fat,0.02555036851499322,Canned,265.2226,OUT045,2002,Medium,Tier 2,Supermarket Type1,17.982593460846996
48,FDL12,15.85,Regular,0.11478541037479005,Baking Goods,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,13.709393809573765
49,FDS02,10.195,Regular,0.1859385302933787,Dairy,196.8794,OUT019,1985,Small,Tier 1,Grocery Store,9.206413297643142
50,NCL17,7.39,Low Fat,0.06558145709075107,Health and Hygiene,143.8812,OUT046,1997,Small,Tier 1,Supermarket Type1,14.635023192139013
51,FDM40,10.195,Low Fat,0.14825089857918916,Frozen Foods,141.5154,OUT013,1987,High,Tier 3,Supermarket Type1,9.475996279744137
52,FDR13,9.895,Regular,0.02829288674542277,Canned,117.0492,OUT013,1987,High,Tier 3,Supermarket Type1,9.325318913736147
53,FDA43,10.895,Low Fat,0.0630138415917111,Fruits and Vegetables,196.3794,OUT017,2007,Medium,Tier 2,Supermarket Type1,14.614270153532743
54,NCP18,12.15,Low Fat,0.028354206133099937,Household,151.4708,OUT017,2007,Medium,Tier 2,Supermarket Type1,16.886283234005074
55,FDK21,7.905,Low Fat,0.010002908678850772,Snack Foods,249.0408,OUT018,2009,Medium,Tier 3,Supermarket Type2,18.428523812262327
56,NCX54,9.195,Low Fat,0.047033706309606994,Household,106.1622,OUT045,2002,Medium,Tier 2,Supermarket Type1,12.840747425944842
57,DRK35,8.365,Low Fat,0.06948706655245147,Hard Drinks,38.0506,OUT049,1999,Medium,Tier 1,Supermarket Type1,9.27141413197037
58,FDY21,15.1,Low Fat,0.15997480435416286,Snack Foods,194.511,OUT046,1997,Small,Tier 1,Supermarket Type1,16.996856396812888
59,FDI26,5.94,Low Fat,0.05928930903595658,Canned,180.0344,OUT019,1985,Small,Tier 1,Grocery Store,9.62682025505049
60,FDM20,10.0,Low Fat,0.0,Fruits and Vegetables,246.9144,OUT018,2009,Medium,Tier 3,Supermarket Type2,14.713352977156099
61,FDV27,7.97,Regular,0.03928910600674447,Meat,87.3514,OUT045,2002,Medium,Tier 2,Supermarket Type1,10.20451165271323
62,FDF09,6.215,Low Fat,0.012017572833334891,Fruits and Vegetables,38.2848,OUT027,1985,Medium,Tier 3,Supermarket Type3,7.855220674224033
63,FDY40,15.5,Regular,0.14001059841420502,Frozen Foods,51.0692,OUT019,1985,Small,Tier 1,Grocery Store,5.287279330640563
64,FDY45,17.5,Low Fat,0.02568287236517923,Snack Foods,255.8356,OUT027,1985,Medium,Tier 3,Supermarket Type3,13.65009638238286
65,FDC46,17.7,Low Fat,0.17820327664076643,Snack Foods,185.4266,OUT010,1998,Medium,Tier 3,Grocery Store,5.692126196194765
66,FDH19,19.35,Low Fat,0.03254677554745904,Meat,172.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,16.945229032876988
