Education,Marital_Status,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,HasChild,Children,Age,TotalAmtSpent,Relation
Grad,Single,58138.0,58,635,88,546,172,88,88,no child,0,64,1617,110.1
Grad,Single,46344.0,38,11,1,6,2,1,6,child,2,67,27,91.76666666666667
Grad,Married,71613.0,26,426,49,127,111,21,42,no child,0,56,776,98.4
Grad,Married,26646.0,26,11,4,20,10,3,5,child,1,37,53,92.63333333333334
PGrad,Married,58293.0,94,173,43,118,46,27,15,child,1,40,422,93.36666666666666
PGrad,Married,62513.0,16,520,42,98,0,42,14,child,1,54,716,97.76666666666667
Grad,Single,55635.0,34,235,65,164,50,49,27,child,1,50,590,107.76666666666667
PGrad,Married,33454.0,32,76,10,56,3,1,23,child,1,36,169,101.9
PGrad,Married,30351.0,19,14,0,24,3,3,2,child,1,47,46,100.93333333333334
UGrad,Married,7500.0,59,6,16,11,11,1,16,no child,0,45,61,107.76666666666667
Grad,Single,63033.0,82,194,61,480,225,112,30,no child,0,62,1102,95.53333333333333
PGrad,Single,59354.0,53,233,2,53,3,5,14,child,2,69,310,95.53333333333333
Grad,Married,17323.0,38,3,14,17,6,1,5,no child,0,34,46,108.9
PGrad,Single,82800.0,23,1006,22,115,59,68,45,no child,0,75,1315,107.4
Grad,Married,41850.0,51,53,5,19,2,13,4,child,2,41,96,106.4
Grad,Married,37760.0,20,84,5,38,150,12,28,no child,0,75,317,110.23333333333333
PGrad,Married,76995.0,91,1012,80,498,0,16,176,child,1,72,1782,103.26666666666667
UGrad,Single,33812.0,86,4,17,19,30,24,39,child,1,36,133,108.1
Grad,Married,37040.0,41,86,2,73,69,38,48,no child,0,39,316,111.0
Grad,Married,2447.0,42,1,1,1725,1,1,1,child,1,42,1730,105.96666666666667
PGrad,Married,58607.0,63,867,0,86,0,0,19,child,1,72,972,106.43333333333334
PGrad,Married,65324.0,0,384,0,102,21,32,5,child,1,67,544,93.63333333333334
Grad,Married,40689.0,69,270,3,27,39,6,99,child,1,70,444,103.6
Grad,Single,18589.0,89,6,4,25,15,12,13,no child,0,52,75,106.1
Grad,Married,53359.0,4,173,4,30,3,6,41,child,2,45,257,101.26666666666667
Grad,Married,38360.0,26,36,2,42,20,21,10,child,1,32,131,101.13333333333334
PGrad,Married,84618.0,96,684,100,801,21,66,0,no child,0,56,1672,95.3
PGrad,Single,10979.0,34,8,4,10,2,2,4,no child,0,32,30,89.26666666666667
PGrad,Married,38620.0,56,112,17,44,34,22,89,no child,0,58,318,101.8
Grad,Married,40548.0,31,110,0,5,2,0,3,child,1,51,120,108.9
PGrad,Single,46610.0,8,96,12,96,33,22,43,child,2,69,302,108.26666666666667
PGrad,Married,68657.0,4,482,34,471,119,68,22,no child,0,75,1196,104.46666666666667
PGrad,Single,49389.0,55,40,0,19,2,1,3,child,2,70,65,98.13333333333334
PGrad,Married,67353.0,37,702,17,151,0,8,35,child,1,51,913,94.0
UGrad,Married,23718.0,76,6,3,14,15,7,36,child,1,45,81,98.0
Grad,Single,42429.0,99,55,0,6,2,0,4,child,1,48,67,92.6
PGrad,Single,48948.0,53,437,8,206,160,49,42,no child,0,78,902,105.1
Grad,Married,80011.0,3,421,76,536,82,178,102,child,1,41,1395,102.2
PGrad,Married,20559.0,88,13,1,29,3,0,7,child,1,36,53,103.8
Grad,Married,21994.0,4,9,0,6,3,1,3,child,1,64,22,106.4
PGrad,Married,7500.0,19,3,1,10,3,2,12,child,1,46,31,97.0
Grad,Single,79941.0,72,123,164,266,227,30,174,no child,0,45,984,88.03333333333333
UGrad,Married,7500.0,24,3,18,14,15,22,50,no child,0,25,122,107.9
Grad,Married,41728.0,92,13,6,15,3,5,13,child,1,53,55,101.36666666666666
PGrad,Married,72550.0,39,826,50,317,50,38,38,child,2,67,1319,107.93333333333334
Grad,Single,65486.0,29,245,19,125,37,67,14,child,1,64,507,89.6
PGrad,Married,79143.0,2,650,37,780,27,167,32,no child,0,57,1693,110.9
Grad,Single,35790.0,54,12,6,20,30,1,3,child,1,44,72,106.1
Grad,Single,82582.0,54,510,120,550,156,40,241,no child,0,44,1617,88.73333333333333
Grad,Married,66373.0,57,328,9,124,12,24,109,child,2,43,606,100.73333333333333
PGrad,Married,82384.0,55,984,51,432,180,120,190,no child,0,66,1957,107.56666666666666
Grad,Single,70287.0,30,295,35,482,121,120,40,no child,0,55,1093,103.1
Grad,Single,27938.0,31,13,0,8,2,1,5,child,1,33,29,90.06666666666666
PGrad,Married,55954.0,63,447,0,28,0,0,43,child,1,53,518,91.93333333333334
PGrad,Single,75777.0,12,712,26,538,69,13,80,no child,0,39,1438,100.0
Grad,Married,66653.0,18,452,18,102,16,18,6,child,2,46,612,110.0
Grad,Single,61823.0,26,523,7,134,37,14,169,child,1,69,884,104.53333333333333
PGrad,Single,67680.0,8,546,0,48,0,6,6,child,1,70,606,100.76666666666667
Grad,Married,70666.0,29,398,40,367,119,122,30,no child,0,73,1076,94.83333333333333
Grad,Married,25721.0,75,1,3,6,3,6,15,child,1,50,34,101.46666666666667
Grad,Married,32474.0,0,10,0,1,0,0,0,child,2,54,11,89.63333333333334
UGrad,Single,88194.0,19,688,14,309,201,24,38,child,1,42,1274,91.4
Grad,Married,69096.0,4,247,49,159,7,82,109,child,1,63,653,97.16666666666667
Grad,Married,74854.0,90,856,59,487,58,29,73,child,3,51,1562,102.9
PGrad,Married,66991.0,1,496,36,460,189,60,12,no child,0,67,1253,109.86666666666666
Grad,Married,65031.0,29,258,107,291,84,37,86,child,1,62,863,103.63333333333334
PGrad,Married,60631.0,88,565,6,65,0,6,19,child,2,46,661,103.0
Grad,Married,28332.0,58,14,10,13,4,15,9,no child,0,69,65,90.0
Grad,Single,40246.0,68,2,1,6,2,1,1,child,1,44,13,106.56666666666666
PGrad,Married,75251.0,34,721,111,925,97,18,18,no child,0,49,1890,110.36666666666666
Grad,Single,75825.0,40,1032,105,779,137,105,51,no child,0,45,2209,108.83333333333333
UGrad,Married,26326.0,12,1,0,5,0,3,9,no child,0,45,18,97.93333333333334
Grad,Married,56046.0,9,577,0,64,0,0,51,no child,0,56,692,106.1
Grad,Single,29760.0,87,64,4,68,7,5,17,child,1,36,165,110.3
Grad,Married,26304.0,5,4,1,5,2,0,4,child,1,52,16,100.36666666666666
UGrad,Married,23559.0,87,25,5,19,7,0,23,child,1,48,79,100.03333333333333
PGrad,Married,38620.0,56,112,17,44,34,22,89,no child,0,58,318,101.8
Grad,Single,81361.0,18,163,23,424,27,65,76,no child,0,34,778,92.13333333333334
Grad,Married,29440.0,95,17,8,14,10,4,3,child,2,61,56,98.73333333333333
PGrad,Married,36138.0,48,130,0,16,0,0,5,child,2,51,151,99.6
Grad,Single,50388.0,3,292,6,37,0,3,34,child,1,64,372,89.06666666666666
Grad,Married,79593.0,70,350,60,568,110,133,145,no child,0,48,1366,89.6
Grad,Married,54178.0,79,135,9,39,4,0,7,child,1,54,194,93.3
PGrad,Single,42394.0,69,15,2,10,0,1,4,child,1,49,32,91.26666666666667
PGrad,Married,23626.0,84,27,2,14,0,0,0,child,1,51,43,89.2
Grad,Married,30096.0,30,5,3,11,12,5,9,child,1,38,45,89.26666666666667
Grad,Single,47916.0,72,505,0,26,0,0,75,child,1,61,606,107.46666666666667
Grad,Single,51813.0,37,51,2,7,0,1,2,child,2,49,63,102.8
