,Year,Quarter,LGA,Sex,Age_Gr,TB_Cases
0,2022,1,Birni – Gwari,Male,0-4,0
1,2022,1,Birni – Gwari,Female,0-4,0
2,2022,2,Birni – Gwari,Male,0-4,0
3,2022,2,Birni – Gwari,Female,0-4,0
4,2022,3,Birni – Gwari,Male,0-4,0
5,2022,3,Birni – Gwari,Female,0-4,0
6,2022,4,Birni – Gwari,Male,0-4,2
7,2022,4,Birni – Gwari,Female,0-4,1
8,2022,1,Chikun,Male,0-4,0
9,2022,1,Chikun,Female,0-4,1
10,2022,2,Chikun,Male,0-4,0
11,2022,2,Chikun,Female,0-4,1
12,2022,3,Chikun,Male,0-4,2
13,2022,3,Chikun,Female,0-4,2
14,2022,4,Chikun,Male,0-4,1
15,2022,4,Chikun,Female,0-4,1
16,2022,1,Giwa,Male,0-4,5
17,2022,1,Giwa,Female,0-4,3
18,2022,2,Giwa,Male,0-4,15
19,2022,2,Giwa,Female,0-4,4
20,2022,3,Giwa,Male,0-4,28
21,2022,3,Giwa,Female,0-4,43
22,2022,4,Giwa,Male,0-4,14
23,2022,4,Giwa,Female,0-4,8
24,2022,1,Igabi,Male,0-4,1
25,2022,1,Igabi,Female,0-4,0
26,2022,2,Igabi,Male,0-4,0
27,2022,2,Igabi,Female,0-4,2
28,2022,3,Igabi,Male,0-4,3
29,2022,3,Igabi,Female,0-4,1
30,2022,4,Igabi,Male,0-4,4
31,2022,4,Igabi,Female,0-4,5
32,2022,1,Ikara,Male,0-4,0
33,2022,1,Ikara,Female,0-4,0
34,2022,2,Ikara,Male,0-4,0
35,2022,2,Ikara,Female,0-4,1
36,2022,3,Ikara,Male,0-4,0
37,2022,3,Ikara,Female,0-4,0
38,2022,4,Ikara,Male,0-4,9
39,2022,4,Ikara,Female,0-4,7
40,2022,1,Jaba,Male,0-4,0
41,2022,1,Jaba,Female,0-4,0
42,2022,2,Jaba,Male,0-4,0
43,2022,2,Jaba,Female,0-4,0
44,2022,3,Jaba,Male,0-4,0
45,2022,3,Jaba,Female,0-4,0
46,2022,4,Jaba,Male,0-4,0
47,2022,4,Jaba,Female,0-4,0
48,2022,1,Jema'a,Male,0-4,0
49,2022,1,Jema'a,Female,0-4,0
50,2022,2,Jema'a,Male,0-4,0
51,2022,2,Jema'a,Female,0-4,0
52,2022,3,Jema'a,Male,0-4,0
53,2022,3,Jema'a,Female,0-4,0
54,2022,4,Jema'a,Male,0-4,0
55,2022,4,Jema'a,Female,0-4,0
56,2022,1,Kachia,Male,0-4,0
57,2022,1,Kachia,Female,0-4,0
58,2022,2,Kachia,Male,0-4,0
59,2022,2,Kachia,Female,0-4,0
60,2022,3,Kachia,Male,0-4,2
61,2022,3,Kachia,Female,0-4,2
62,2022,4,Kachia,Male,0-4,0
63,2022,4,Kachia,Female,0-4,0
64,2022,1,Kaduna North,Male,0-4,12
65,2022,1,Kaduna North,Female,0-4,13
66,2022,2,Kaduna North,Male,0-4,12
67,2022,2,Kaduna North,Female,0-4,10
68,2022,3,Kaduna North,Male,0-4,21
69,2022,3,Kaduna North,Female,0-4,16
70,2022,4,Kaduna North,Male,0-4,18
71,2022,4,Kaduna North,Female,0-4,16
72,2022,1,Kaduna South,Male,0-4,2
73,2022,1,Kaduna South,Female,0-4,1
74,2022,2,Kaduna South,Male,0-4,2
75,2022,2,Kaduna South,Female,0-4,3
76,2022,3,Kaduna South,Male,0-4,6
77,2022,3,Kaduna South,Female,0-4,2
78,2022,4,Kaduna South,Male,0-4,2
79,2022,4,Kaduna South,Female,0-4,6
