,Year,Quarter,Year_Quarter,LGA,Sex,Age_Gr,TB_Cases
0,2019,1,2019 Q1,Birnin-Gwari,Male,0 to 4,0
1,2019,1,2019 Q1,Birnin-Gwari,Female,0 to 4,0
2,2019,2,2019 Q2,Birnin-Gwari,Male,0 to 4,0
3,2019,2,2019 Q2,Birnin-Gwari,Female,0 to 4,0
4,2019,3,2019 Q3,Birnin-Gwari,Male,0 to 4,0
5,2019,3,2019 Q3,Birnin-Gwari,Female,0 to 4,0
6,2019,4,2019 Q4,Birnin-Gwari,Male,0 to 4,0
7,2019,4,2019 Q4,Birnin-Gwari,Female,0 to 4,0
8,2019,1,2019 Q1,Chikun,Male,0 to 4,0
9,2019,1,2019 Q1,Chikun,Female,0 to 4,0
10,2019,2,2019 Q2,Chikun,Male,0 to 4,0
11,2019,2,2019 Q2,Chikun,Female,0 to 4,0
12,2019,3,2019 Q3,Chikun,Male,0 to 4,1
13,2019,3,2019 Q3,Chikun,Female,0 to 4,0
14,2019,4,2019 Q4,Chikun,Male,0 to 4,0
15,2019,4,2019 Q4,Chikun,Female,0 to 4,0
16,2019,1,2019 Q1,Giwa,Male,0 to 4,6
17,2019,1,2019 Q1,Giwa,Female,0 to 4,2
18,2019,2,2019 Q2,Giwa,Male,0 to 4,9
19,2019,2,2019 Q2,Giwa,Female,0 to 4,7
20,2019,3,2019 Q3,Giwa,Male,0 to 4,10
21,2019,3,2019 Q3,Giwa,Female,0 to 4,5
22,2019,4,2019 Q4,Giwa,Male,0 to 4,5
23,2019,4,2019 Q4,Giwa,Female,0 to 4,6
24,2019,1,2019 Q1,Igabi,Male,0 to 4,0
25,2019,1,2019 Q1,Igabi,Female,0 to 4,0
26,2019,2,2019 Q2,Igabi,Male,0 to 4,0
27,2019,2,2019 Q2,Igabi,Female,0 to 4,0
28,2019,3,2019 Q3,Igabi,Male,0 to 4,1
29,2019,3,2019 Q3,Igabi,Female,0 to 4,0
30,2019,4,2019 Q4,Igabi,Male,0 to 4,0
31,2019,4,2019 Q4,Igabi,Female,0 to 4,0
32,2019,1,2019 Q1,Ikara,Male,0 to 4,0
33,2019,1,2019 Q1,Ikara,Female,0 to 4,0
34,2019,2,2019 Q2,Ikara,Male,0 to 4,0
35,2019,2,2019 Q2,Ikara,Female,0 to 4,0
36,2019,3,2019 Q3,Ikara,Male,0 to 4,0
37,2019,3,2019 Q3,Ikara,Female,0 to 4,0
38,2019,4,2019 Q4,Ikara,Male,0 to 4,0
39,2019,4,2019 Q4,Ikara,Female,0 to 4,0
40,2019,1,2019 Q1,Jaba,Male,0 to 4,0
41,2019,1,2019 Q1,Jaba,Female,0 to 4,0
42,2019,2,2019 Q2,Jaba,Male,0 to 4,0
43,2019,2,2019 Q2,Jaba,Female,0 to 4,0
44,2019,3,2019 Q3,Jaba,Male,0 to 4,0
45,2019,3,2019 Q3,Jaba,Female,0 to 4,0
46,2019,4,2019 Q4,Jaba,Male,0 to 4,0
47,2019,4,2019 Q4,Jaba,Female,0 to 4,0
48,2019,1,2019 Q1,Jema'a,Male,0 to 4,0
49,2019,1,2019 Q1,Jema'a,Female,0 to 4,0
50,2019,2,2019 Q2,Jema'a,Male,0 to 4,0
51,2019,2,2019 Q2,Jema'a,Female,0 to 4,0
52,2019,3,2019 Q3,Jema'a,Male,0 to 4,0
53,2019,3,2019 Q3,Jema'a,Female,0 to 4,0
54,2019,4,2019 Q4,Jema'a,Male,0 to 4,0
55,2019,4,2019 Q4,Jema'a,Female,0 to 4,1
56,2019,1,2019 Q1,Kachia,Male,0 to 4,0
57,2019,1,2019 Q1,Kachia,Female,0 to 4,0
58,2019,2,2019 Q2,Kachia,Male,0 to 4,0
59,2019,2,2019 Q2,Kachia,Female,0 to 4,0
60,2019,3,2019 Q3,Kachia,Male,0 to 4,0
61,2019,3,2019 Q3,Kachia,Female,0 to 4,0
62,2019,4,2019 Q4,Kachia,Male,0 to 4,0
63,2019,4,2019 Q4,Kachia,Female,0 to 4,0
64,2019,1,2019 Q1,Kaduna North,Male,0 to 4,1
65,2019,1,2019 Q1,Kaduna North,Female,0 to 4,6
66,2019,2,2019 Q2,Kaduna North,Male,0 to 4,3
67,2019,2,2019 Q2,Kaduna North,Female,0 to 4,2
68,2019,3,2019 Q3,Kaduna North,Male,0 to 4,2
69,2019,3,2019 Q3,Kaduna North,Female,0 to 4,3
70,2019,4,2019 Q4,Kaduna North,Male,0 to 4,0
71,2019,4,2019 Q4,Kaduna North,Female,0 to 4,0
72,2019,1,2019 Q1,Kaduna South,Male,0 to 4,1
73,2019,1,2019 Q1,Kaduna South,Female,0 to 4,0
74,2019,2,2019 Q2,Kaduna South,Male,0 to 4,2
75,2019,2,2019 Q2,Kaduna South,Female,0 to 4,1
76,2019,3,2019 Q3,Kaduna South,Male,0 to 4,1
77,2019,3,2019 Q3,Kaduna South,Female,0 to 4,0
78,2019,4,2019 Q4,Kaduna South,Male,0 to 4,0
79,2019,4,2019 Q4,Kaduna South,Female,0 to 4,0
80,2019,1,2019 Q1,Kagarko,Male,0 to 4,0
81,2019,1,2019 Q1,Kagarko,Female,0 to 4,0
82,2019,2,2019 Q2,Kagarko,Male,0 to 4,0
83,2019,2,2019 Q2,Kagarko,Female,0 to 4,0
84,2019,3,2019 Q3,Kagarko,Male,0 to 4,0
85,2019,3,2019 Q3,Kagarko,Female,0 to 4,0
86,2019,4,2019 Q4,Kagarko,Male,0 to 4,0
87,2019,4,2019 Q4,Kagarko,Female,0 to 4,0
88,2019,1,2019 Q1,Kajuru,Male,0 to 4,0
89,2019,1,2019 Q1,Kajuru,Female,0 to 4,0
90,2019,2,2019 Q2,Kajuru,Male,0 to 4,0
91,2019,2,2019 Q2,Kajuru,Female,0 to 4,0
92,2019,3,2019 Q3,Kajuru,Male,0 to 4,0
93,2019,3,2019 Q3,Kajuru,Female,0 to 4,0
94,2019,4,2019 Q4,Kajuru,Male,0 to 4,0
95,2019,4,2019 Q4,Kajuru,Female,0 to 4,0
96,2019,1,2019 Q1,Kaura,Male,0 to 4,0
97,2019,1,2019 Q1,Kaura,Female,0 to 4,0
98,2019,2,2019 Q2,Kaura,Male,0 to 4,0
99,2019,2,2019 Q2,Kaura,Female,0 to 4,0
100,2019,3,2019 Q3,Kaura,Male,0 to 4,0
101,2019,3,2019 Q3,Kaura,Female,0 to 4,0
102,2019,4,2019 Q4,Kaura,Male,0 to 4,0
103,2019,4,2019 Q4,Kaura,Female,0 to 4,0
104,2019,1,2019 Q1,Kauru,Male,0 to 4,0
105,2019,1,2019 Q1,Kauru,Female,0 to 4,0
106,2019,2,2019 Q2,Kauru,Male,0 to 4,0
107,2019,2,2019 Q2,Kauru,Female,0 to 4,0
