Year,Quarter,LGA,Sex,0-4,5-14,15–24,25–34,35–44,45–54,55–64,> 65,Total
2023,1,Birin Gwari,Male,0,5,10,15,5,6,15,11,67
2023,1,Birin Gwari,Female,0,1,2,14,8,10,9,13,57
2023,2,Birin Gwari,Male,1,3,3,6,12,16,11,4,56
2023,2,Birin Gwari,Female,0,5,7,12,17,21,14,8,84
2023,3,Birin Gwari,Male,0,0,0,0,0,0,0,0,0
2023,3,Birin Gwari,Female,0,0,0,0,0,0,0,0,0
2023,4,Birin Gwari,Male,0,0,0,0,0,0,0,0,0
2023,4,Birin Gwari,Female,0,0,0,0,0,0,0,0,0
2023,1,Chikun,Male,0,0,19,70,84,40,20,4,237
2023,1,Chikun,Female,2,0,25,32,33,5,6,3,106
2023,2,Chikun,Male,7,5,49,105,93,43,14,9,325
2023,2,Chikun,Female,3,4,29,53,41,22,7,9,168
2023,3,Chikun,Male,0,0,0,0,0,0,0,0,0
2023,3,Chikun,Female,0,0,0,0,0,0,0,0,0
2023,4,Chikun,Male,0,0,0,0,0,0,0,0,0
2023,4,Chikun,Female,0,0,0,0,0,0,0,0,0
2023,1,Giwa,Male,5,27,61,123,70,17,1,3,307
2023,1,Giwa,Female,3,34,84,83,40,9,3,0,256
2023,2,Giwa,Male,3,34,56,81,67,21,2,2,266
2023,2,Giwa,Female,5,30,80,75,43,11,1,2,247
2023,3,Giwa,Male,0,0,0,0,0,0,0,0,0
2023,3,Giwa,Female,0,0,0,0,0,0,0,0,0
2023,4,Giwa,Male,0,0,0,0,0,0,0,0,0
2023,4,Giwa,Female,0,0,0,0,0,0,0,0,0
2023,1,Igabi,Male,1,4,23,35,30,29,15,6,143
2023,1,Igabi,Female,0,0,27,34,27,10,13,0,111
2023,2,Igabi,Male,3,5,27,34,32,29,19,4,153
2023,2,Igabi,Female,1,3,22,27,29,15,13,0,110
2023,3,Igabi,Male,0,0,0,0,0,0,0,0,0
2023,3,Igabi,Female,0,0,0,0,0,0,0,0,0
2023,4,Igabi,Male,0,0,0,0,0,0,0,0,0
2023,4,Igabi,Female,0,0,0,0,0,0,0,0,0
