,Year,Quarter,LGA,Sex,0-4,5-14,15-24,25-34,35-44,45-54,55-64,>=65,Total
0,2022,1,BIRIN GWARI,Male,0,0,7,16,18,11,11,15,78
1,2022,1,BIRIN GWARI,Female,0,0,2,14,8,9,6,3,42
2,2022,2,BIRIN GWARI,Male,0,0,3,13,3,10,22,14,65
3,2022,2,BIRIN GWARI,Female,0,0,1,6,7,16,8,6,44
4,2022,3,BIRIN GWARI,Male,0,0,5,8,6,8,8,15,50
5,2022,3,BIRIN GWARI,Female,0,1,3,7,7,11,9,15,53
6,2022,4,BIRIN GWARI,Male,2,2,12,7,8,13,10,14,68
7,2022,4,BIRIN GWARI,Female,1,5,4,14,14,13,15,12,78
8,2022,1,CHIKUN,Male,0,0,12,25,95,32,30,0,194
9,2022,1,CHIKUN,Female,1,1,6,18,63,29,7,0,125
10,2022,2,CHIKUN,Male,0,0,25,43,48,27,15,3,161
11,2022,2,CHIKUN,Female,1,3,23,19,21,7,5,3,82
12,2022,3,CHIKUN,Male,2,3,27,75,75,39,24,9,254
13,2022,3,CHIKUN,Female,2,3,18,35,38,17,6,3,122
14,2022,4,CHIKUN,Male,1,5,29,95,94,52,11,5,292
15,2022,4,CHIKUN,Female,1,4,20,54,52,23,8,3,165
16,2022,1,GIWA,Male,5,9,82,144,34,6,2,2,284
17,2022,1,GIWA,Female,3,2,98,110,21,3,1,1,239
18,2022,2,GIWA,Male,15,7,74,133,9,3,1,0,242
19,2022,2,GIWA,Female,4,5,65,87,7,5,1,0,174
20,2022,3,GIWA,Male,28,25,71,88,47,24,7,6,296
21,2022,3,GIWA,Female,43,23,55,105,38,9,2,1,276
22,2022,4,GIWA,Male,14,73,78,80,40,12,2,0,299
23,2022,4,GIWA,Female,8,73,87,77,29,4,0,0,278
24,2022,1,IGABI,Male,1,10,21,23,18,8,5,8,94
25,2022,1,IGABI,Female,0,6,16,13,8,5,3,3,54
26,2022,2,IGABI,Male,0,4,16,32,18,12,7,1,90
27,2022,2,IGABI,Female,2,1,21,18,12,6,2,1,63
28,2022,3,IGABI,Male,3,7,40,35,43,15,6,4,153
29,2022,3,IGABI,Female,1,3,23,30,18,8,4,3,90
30,2022,4,IGABI,Male,4,4,21,34,18,20,10,3,114
31,2022,4,IGABI,Female,5,3,42,25,27,16,15,5,138
